id,name,parent_id,color,label_tree_id,source_id
149119,2D,149134,69fe79,558,
149120,3D,149134,54a0eb,558,
149121,Acorn,149131,e70411,558,
149122,"Acorn worms",149406,f5cf45,558,
149123,Arborescent,149288,e9190e,558,
149124,Arborescent,149232,f66bb8,558,
149125,"Articulated calcareous",149272,52bef9,558,
149126,Ascidians,149137,d7ea4b,558,
149128,"Bacterial mats",149137,69f0ba,558,
149129,Balls,149275,1430ec,558,
149130,"Barnacle plates",149136,f3c064,558,
149131,Barnacles,149191,dbf249,558,
149132,Barrels,149197,6b92ec,558,
149133,"Basket stars",149292,ea35ed,558,
149134,Bedforms,149307,db41f7,558,
149135,Benthic,149341,e82001,558,
149136,Biologenic,149302,4739f1,558,
149137,Biota,,38ed82,558,
149138,Bioturbated,149134,eebb39,558,
149139,Bioturbation,149137,f2582f,558,
149140,Bivalves,149280,c262e6,558,
149141,"Black & Octocorals",149184,e62b47,558,
149142,"Blue coral (Heliopora)",149141,a258f4,558,
149143,"Bony fishes",149229,fedc44,558,
149144,Bottle-brush,149288,ed50dc,558,
149146,Boulders,149180,f8520d,558,
149147,Brachiopods,149137,2925e9,558,
149148,Branching,149220,ff4ddb,558,
149149,Branching,149251,9748f6,558,
149150,Branching,149255,eb23bd,558,
149152,"Branching (3D)",149141,f746db,558,
149153,"Brittle / snake stars",149292,62b9e6,558,
149154,Brown,149219,e7428a,558,
149155,Brown,149218,1adbeb,558,
149156,Brown,149347,f66511,558,
149157,Brown,149264,48b2fd,558,
149158,Brown,149215,d176f0,558,
149159,Brown,149263,51e9e0,558,
149160,Brown,149240,ec73b4,558,
149161,Brown,149227,daeb24,558,
149162,Bryozoa,149137,46e5ab,558,
149163,"Burrow cluster",149205,3eec26,558,
149164,Bushy,149288,48f01a,558,
149165,Calcareous,149324,f29d3d,558,
149166,Cephalopods,149280,fd506f,558,
149167,Chimaeras,149209,ef1cc4,558,
149168,Chitons,149280,460efd,558,
149169,Cnidaria,149137,e64866,558,
149170,"Coarse sand (with shell fragments)",149338,8ee60c,558,
149171,Cobbles,149180,750bfd,558,
149172,"Coiled casts",149399,66fb60,558,
149173,Colonial,149394,0658ef,558,
149174,Colonial,149370,2b04e6,558,
149175,"Colonial anemones",149169,6e6eec,558,
149177,Complex,149144,e3e824,558,
149178,Complex,149226,0733f5,558,
149179,"Complex trail",149189,2258fd,558,
149180,"Consolidated (hard)",149379,54e75b,558,
149181,"Coquina / shellhash",149136,46f84c,558,
149182,"Coral rubble",149136,43f570,558,
149183,Corallimorphs,149175,23ee58,558,
149184,Corals,149169,ef6ad6,558,
149186,Crabs,149191,edf672,558,
149187,"Crater cone",149205,3cfa32,558,
149188,"Crater row",149189,ba31fa,558,
149189,"Crawling traces",149139,f2297c,558,
149190,"Creeping / ramose",149192,e6bb67,558,
149191,Crustacea,149137,0d7bec,558,
149192,Crusts,149365,5178e9,558,
149193,Cryptic,149275,ea15dc,558,
149194,Ctenophores,149260,c406e6,558,
149195,Cubozoa,149260,5bf8a6,558,
149196,"Cup / goblet",149198,4565e6,558,
149197,Cup-likes,149365,f4646b,558,
149198,Cups,149197,309bf2,558,
149199,"Curly casts",149399,c7e95d,558,
149200,Cuttlefish,149166,50f0be,558,
149201,Cyanobacteria,149128,ea1fec,558,
149202,Dendroid,149358,d12deb,558,
149204,"Disturbed trace",149189,6bfe74,558,
149205,"Dwelling traces",149139,e77916,558,
149206,Echinoderms,149137,f937fb,558,
149207,Echiura,149406,41d5e7,558,
149208,Eels,149229,63eadd,558,
149209,Elasmobranchs,149229,a77bf8,558,
149210,"Elliptical leaves",149345,c37cfd,558,
149211,"Elongate depression",149205,2bd9f0,558,
149212,Encrusting,149251,935af2,558,
149214,Encrusting,149192,26d0ff,558,
149215,Encrusting,149272,78fdcd,558,
149216,Encrusting,149141,da04e7,558,
149217,"Endolithic / bioeroding",149192,5afa92,558,
149218,"Erect coarse branching",149272,2bb4f8,558,
149219,"Erect fine branching",149272,1d38e6,558,
149220,"Erect forms",149365,3956e6,558,
149221,"Fan (2D)",149141,f3ab36,558,
149222,"Feather stars",149206,a0f810,558,
149223,"Feeding traces",149139,c30df2,558,
149224,Fenestrate,149251,ef9448,558,
149225,Fern,149393,eb24fa,558,
149226,Fern-frond,149221,45e1fd,558,
149227,"Filamentous / filiform",149272,e93ee4,558,
149228,"Fine sand (no shell fragments)",149338,e94c84,558,
149229,Fishes,149137,50f6ec,558,
149230,Flat,149326,0635ec,558,
149231,Flatworms,149406,b8ec4c,558,
149232,Fleshy,149152,e9f41e,558,
149233,Flytrap,149386,f26a85,558,
149234,Foliaceous,149358,e7c71d,558,
149236,Fourlobed,149386,15e6aa,558,
149237,"Fractured mound",149205,01a9e5,558,
149239,Gastropods,149280,d364e9,558,
149240,"Globose / saccate",149272,35c4fe,558,
149241,"Globule xenophyophore",149294,f22021,558,
149242,"Gravel (2-10mm)",149302,f46281,558,
149243,Green,149263,25ee43,558,
