"","Transect","video_annotation_label_id","label_id","label_name","Substrate_type","label_hierarchy","label_1","label_2","label_3","label_4","label_5","label_6","user_id","firstname","lastname","video_id","video_filename","shape_id","shape_name","points","frames","annotation_id","frame in secons","frame.secs","video_name","Time","Temperature","Depth","Video tags","BTLVL","Mode","Res","FPS","Overlay","DCCWB","EIS","Autorec","Wifi","Sdcard","Firmware","timeLOCAL","video","GPSLongitude","GPSLatitude","timegpsUTC","distance_km","distance_m","duration_minutes","duration_hours","speed_kph","truncated_time","count"
"55","T1",326702,149486,"Gracilaria",NA,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria","Biota","Macroalgae","Erect fine branching","Red","Gracilaria",NA,508,"Gonzalo","Bravo",5170,"www.biigle.proyectosub.org/0007_GB.MP4",1,"Point","[[1456.12,465.58]]","[287.508257]",279199,287.508257,288,"MOV_0007_GB","2020:03:04 11:23:52",16.3,5.2,0,33,"Video","1080P","100","On","Green","On","Off","Off",16,"1.5.2",2020-03-04 11:23:52,"MOV_0007_GB",-65.8137977868319,-45.020474055782,"2020/03/04 14:23:20+00",0.768624433343769,768.624433343769,17.1,0.285,2.69692783629393,2020-03-04 11:23:52,1
"81","T1",326703,149486,"Gracilaria",NA,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria","Biota","Macroalgae","Erect fine branching","Red","Gracilaria",NA,508,"Gonzalo","Bravo",5170,"www.biigle.proyectosub.org/0007_GB.MP4",1,"Point","[[1162.83,746.93]]","[289.718907]",279200,289.718907,290,"MOV_0007_GB","2020:03:04 11:23:54",16.3,5.2,0,33,"Video","1080P","100","On","Green","On","Off","Off",16,"1.5.2",2020-03-04 11:23:54,"MOV_0007_GB",-65.8137977868319,-45.020474055782,"2020/03/04 14:23:20+00",0.768624433343769,768.624433343769,17.1,0.285,2.69692783629393,2020-03-04 11:23:54,1
"82","T1",326704,149486,"Gracilaria",NA,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria","Biota","Macroalgae","Erect fine branching","Red","Gracilaria",NA,508,"Gonzalo","Bravo",5170,"www.biigle.proyectosub.org/0007_GB.MP4",1,"Point","[[264.74,607.08]]","[291.660077]",279201,291.660077,292,"MOV_0007_GB","2020:03:04 11:23:56",16.3,5.1,0,33,"Video","1080P","100","On","Green","On","Off","Off",16,"1.5.2",2020-03-04 11:23:56,"MOV_0007_GB",-65.8138309791684,-45.0204995367676,"2020/03/04 14:23:25+00",0.768624433343769,768.624433343769,17.1,0.285,2.69692783629393,2020-03-04 11:23:56,1
"83","T1",326705,149486,"Gracilaria",NA,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria","Biota","Macroalgae","Erect fine branching","Red","Gracilaria",NA,508,"Gonzalo","Bravo",5170,"www.biigle.proyectosub.org/0007_GB.MP4",1,"Point","[[473.83,689.66]]","[293.894315]",279202,293.894315,294,"MOV_0007_GB","2020:03:04 11:23:58",16.3,5.1,0,33,"Video","1080P","100","On","Green","On","Off","Off",16,"1.5.2",2020-03-04 11:23:58,"MOV_0007_GB",-65.8138309791684,-45.0204995367676,"2020/03/04 14:23:25+00",0.768624433343769,768.624433343769,17.1,0.285,2.69692783629393,2020-03-04 11:23:58,3
"103","T1",216819,149486,"Gracilaria",NA,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria","Biota","Macroalgae","Erect fine branching","Red","Gracilaria",NA,508,"Gonzalo","Bravo",2791,"www.biigle.proyectosub.org/0006_GB.MP4",1,"Point","[[563.7,641.95]]","[441.251711]",174543,441.251711,441,"MOV_0006_GB","2020:03:04 11:16:23",16.6,4.7,0,36,"Video","1080P","100","On","Green","On","Off","Off",16,"1.5.2",2020-03-04 11:16:23,"MOV_0006_GB",-65.8108968101442,-45.0182759854943,"2020/03/04 14:15:50+00",0.768624433343769,768.624433343769,17.1,0.285,2.69692783629393,2020-03-04 11:16:23,2
"106","T1",326694,149486,"Gracilaria",NA,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria","Biota","Macroalgae","Erect fine branching","Red","Gracilaria",NA,508,"Gonzalo","Bravo",5170,"www.biigle.proyectosub.org/0007_GB.MP4",1,"Point","[[422.87,321.38]]","[259.007515]",279191,259.007515,259,"MOV_0007_GB","2020:03:04 11:23:23",16.2,5.3,0,33,"Video","1080P","100","On","Green","On","Off","Off",16,"1.5.2",2020-03-04 11:23:23,"MOV_0007_GB",-65.8135817851871,-45.0203413702548,"2020/03/04 14:22:50+00",0.768624433343769,768.624433343769,17.1,0.285,2.69692783629393,2020-03-04 11:23:23,1
"107","T1",326695,149486,"Gracilaria",NA,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria","Biota","Macroalgae","Erect fine branching","Red","Gracilaria",NA,508,"Gonzalo","Bravo",5170,"www.biigle.proyectosub.org/0007_GB.MP4",1,"Point","[[47.55,672.37]]","[267.88986]",279192,267.88986,268,"MOV_0007_GB","2020:03:04 11:23:32",16.2,5.3,0,33,"Video","1080P","100","On","Green","On","Off","Off",16,"1.5.2",2020-03-04 11:23:32,"MOV_0007_GB",-65.8136525284499,-45.02038420178,"2020/03/04 14:23:00+00",0.768624433343769,768.624433343769,17.1,0.285,2.69692783629393,2020-03-04 11:23:32,1
"108","T1",326696,149486,"Gracilaria",NA,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria","Biota","Macroalgae","Erect fine branching","Red","Gracilaria",NA,508,"Gonzalo","Bravo",5170,"www.biigle.proyectosub.org/0007_GB.MP4",1,"Point","[[1030.51,437.67]]","[272.298317]",279193,272.298317,272,"MOV_0007_GB","2020:03:04 11:23:36",16.2,5.3,0,33,"Video","1080P","100","On","Green","On","Off","Off",16,"1.5.2",2020-03-04 11:23:36,"MOV_0007_GB",-65.8136875648052,-45.0204069167376,"2020/03/04 14:23:05+00",0.768624433343769,768.624433343769,17.1,0.285,2.69692783629393,2020-03-04 11:23:36,1
"110","T1",2776438,149486,"Gracilaria",NA,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria","Biota","Macroalgae","Erect fine branching","Red","Gracilaria",NA,508,"Gonzalo","Bravo",5170,"www.biigle.proyectosub.org/0007_GB.MP4",1,"Point","[[1282.35,691.13]]","[363.126436]",2481480,363.126436,363,"MOV_0007_GB","2020:03:04 11:25:07",16.7,4.7,0,33,"Video","1080P","100","On","Green","On","Off","Off",16,"1.5.2",2020-03-04 11:25:07,"MOV_0007_GB",-65.8143803291023,-45.0207878742367,"2020/03/04 14:24:35+00",0.768624433343769,768.624433343769,17.1,0.285,2.69692783629393,2020-03-04 11:25:07,4
"111","T1",2776439,149486,"Gracilaria",NA,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria","Biota","Macroalgae","Erect fine branching","Red","Gracilaria",NA,508,"Gonzalo","Bravo",5170,"www.biigle.proyectosub.org/0007_GB.MP4",1,"Point","[[253.37,654.04]]","[369.120779]",2481481,369.120779,369,"MOV_0007_GB","2020:03:04 11:25:13",16.7,4.6,0,33,"Video","1080P","100","On","Green","On","Off","Off",16,"1.5.2",2020-03-04 11:25:13,"MOV_0007_GB",-65.8144228253514,-45.0208058115095,"2020/03/04 14:24:40+00",0.768624433343769,768.624433343769,17.1,0.285,2.69692783629393,2020-03-04 11:25:13,5
