"","label_name","GPSLongitude","GPSLatitude"
"1","Rock",-65.8091299887747,-45.017017442733
"2","Fine sand (no shell fragments)",-65.8107025176287,-45.0181290507317
"3","Fine sand (no shell fragments)",-65.8108278270811,-45.0182301364839
"4","Fine sand (no shell fragments)",-65.8107645437121,-45.0181795097888
"5","Rock",-65.8089876640588,-45.0169225595891
"6","Rock",-65.8110001590103,-45.0183448009193
"7","Rock",-65.8092051744461,-45.0170576758683
"8","Rock",-65.8092051744461,-45.0170576758683
"9","Rock",-65.8095128741115,-45.0172203686088
"10","Rock",-65.8088790345937,-45.0168515648693
"11","Rock",-65.8096095174551,-45.017289435491
"12","Rock",-65.8087391406298,-45.0167534127831
"13","Rock",-65.8112879097462,-45.0185619760305
"14","Fine sand (no shell fragments)",-65.8106684032828,-45.0181045755744
"15","Rock",-65.8092805277556,-45.0170984119177
"16","Rock",-65.8137977868319,-45.020474055782
"17","Rock",-65.8094415441155,-45.0171779561788
"18","Rock",-65.8104638848454,-45.0179651845247
"19","Rock",-65.809574984014,-45.017265798524
"20","Rock",-65.8088074531406,-45.0168047938496
"21","Rock",-65.8110612630844,-45.0183922424912
"22","Rock",-65.8093196712434,-45.0171181093901
"23","Fine sand (no shell fragments)",-65.8109313435853,-45.018299203366
"24","Rock",-65.8081165328622,-45.0161052402109
"25","Rock",-65.8110924437642,-45.0184177234769
"26","Rock",-65.8093591500074,-45.017136214301
"27","Rock",-65.8087051939219,-45.0167276803404
"28","Rock",-65.810534292832,-45.0180068425834
"29","Rock",-65.8099244255573,-45.0174879189581
"30","Fine sand (no shell fragments)",-65.81145118922,-45.0186892971396
"31","Fine sand (no shell fragments)",-65.8115136343986,-45.0187453720719
"32","Coarse sand (with shell fragments)",-65.8115443959832,-45.0187739543617
"33","Coarse sand (with shell fragments)",-65.8115999680012,-45.018833046779
"34","Coarse sand (with shell fragments)",-65.8116826973855,-45.0189128424972
"35","Rock",-65.8084575925022,-45.0165512412786
"36","Rock",-65.8081386610866,-45.0161476526409
"37","Rock",-65.8081534970552,-45.0162276159972
"38","Rock",-65.8082069735974,-45.0163185596466
"39","Rock",-65.8082812372595,-45.0164062343538
"40","Rock",-65.8083873521537,-45.0165033806115
"41","Rock",-65.8086385577917,-45.0166743714362
"42","Coarse sand (with shell fragments)",-65.8118011336774,-45.0190184544772
"43","Coarse sand (with shell fragments)",-65.813898537308,-45.0205453019589
"44","Coarse sand (with shell fragments)",-65.8139350824058,-45.0205681845546
"45","Rock",-65.814086375758,-45.0206535123289
"46","Coarse sand (with shell fragments)",-65.8141696918756,-45.0206913147122
"47","Coarse sand (with shell fragments)",-65.8143803291023,-45.0207878742367
"48","Coarse sand (with shell fragments)",-65.8146222308278,-45.0209065619856
"49","Coarse sand (with shell fragments)",-65.8147377334535,-45.0209660734981
"50","Coarse sand (with shell fragments)",-65.8149273321033,-45.0210545863956
"51","Fine sand (no shell fragments)",-65.8112602494657,-45.0185361597687
"52","Coarse sand (with shell fragments)",-65.8135817851871,-45.0203413702548
"53","Coarse sand (with shell fragments)",-65.8137231878936,-45.0204292126
"54","Rock",-65.8113537076861,-45.0186100881547
