Time,Temperature,Depth,Image/video-file,Video tags,BTLVL,Mode,Res,FPS,Overlay,DCCWB,EIS,Autorec,Wifi,Sdcard,Firmware
2020:03:04 09:50:21, +16.2 ,001.1 ,,0,80,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 09:50:22, +16.2 ,001.3 ,,0,79,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 09:50:23, +16.2 ,001.5 ,,0,79,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 09:50:24, +16.2 ,001.7 ,,0,79,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 09:50:25, +16.2 ,001.7 ,,0,79,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 09:50:26, +16.2 ,001.6 ,,0,79,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 09:50:27, +16.2 ,001.7 ,,0,79,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 09:50:28, +16.3 ,001.9 ,,0,78,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 09:50:29, +16.2 ,001.9 ,,0,78,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 09:50:30, +16.2 ,002.0 ,,0,78,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 09:50:31, +16.3 ,002.0 ,,0,78,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 09:50:32, +16.3 ,002.0 ,,0,78,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 09:50:33, +16.3 ,001.9 ,,0,78,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 09:50:34, +16.3 ,001.8 ,,0,78,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 09:50:35, +16.3 ,001.8 ,,0,78,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
