Time,Temperature,Depth,Image/video-file,Video tags,BTLVL,Mode,Res,FPS,Overlay,DCCWB,EIS,Autorec,Wifi,Sdcard,Firmware
2020:03:04 11:08:44,17.4,2.5,,0,52,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:08:45,17.4,2.6,,0,51,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:08:46,17.3,2.7,,0,51,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:08:47,17.3,2.9,,0,50,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:08:48,17.3,2.9,,0,49,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:08:49,17.2,2.9,,0,49,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:08:50,17.2,3,,0,49,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:08:51,17.2,3.2,,0,49,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:08:52,17.2,3.2,,0,49,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:08:53,17.1,3,,0,49,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:08:54,17.1,2.9,,0,49,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:08:55,17,3,,0,49,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:08:56,17,3.2,,0,49,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:08:57,17,3.3,,0,49,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:08:58,17,3.4,,0,49,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:08:59,16.9,3.4,,0,49,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:00,16.9,3.4,,0,49,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:01,16.9,3.4,,0,49,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:02,16.9,3.4,,0,49,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:03,16.9,3.3,,0,48,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:03,16.9,3.4,MOV_0006_GB,0,48,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:04,16.8,3.3,MOV_0006_GB,0,48,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:05,16.8,3.3,MOV_0006_GB,0,48,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:06,16.8,3.2,MOV_0006_GB,0,48,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:07,16.8,3.3,MOV_0006_GB,0,47,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:08,16.8,3.4,MOV_0006_GB,0,47,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:09,16.8,3.5,MOV_0006_GB,0,47,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:10,16.8,3.5,MOV_0006_GB,0,47,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:11,16.8,3.4,MOV_0006_GB,0,46,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:12,16.7,3.4,MOV_0006_GB,0,46,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:13,16.7,3.4,MOV_0006_GB,0,46,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:14,16.7,3.3,MOV_0006_GB,0,46,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:15,16.7,3.3,MOV_0006_GB,0,46,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:16,16.7,3.4,MOV_0006_GB,0,46,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:17,16.7,3.4,MOV_0006_GB,0,46,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:18,16.7,3.3,MOV_0006_GB,0,46,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:19,16.7,3.2,MOV_0006_GB,0,46,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:20,16.7,3.3,MOV_0006_GB,0,46,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:21,16.7,3.4,MOV_0006_GB,0,46,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:22,16.7,3.4,MOV_0006_GB,0,46,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:23,16.7,3.4,MOV_0006_GB,0,46,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:24,16.7,3.4,MOV_0006_GB,0,46,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:25,16.6,3.3,MOV_0006_GB,0,46,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:26,16.7,3.4,MOV_0006_GB,0,46,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:27,16.6,3.3,MOV_0006_GB,0,46,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:28,16.6,3.3,MOV_0006_GB,0,45,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:29,16.6,3.2,MOV_0006_GB,0,45,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:30,16.6,3.2,MOV_0006_GB,0,45,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:31,16.6,3.2,MOV_0006_GB,0,45,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:32,16.6,3.1,MOV_0006_GB,0,45,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:33,16.6,3.1,MOV_0006_GB,0,45,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:34,16.6,3,MOV_0006_GB,0,45,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:35,16.6,3,MOV_0006_GB,0,44,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:36,16.5,3,MOV_0006_GB,0,44,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:37,16.5,3.1,MOV_0006_GB,0,44,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:38,16.5,3,MOV_0006_GB,0,44,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:39,16.5,3.1,MOV_0006_GB,0,44,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:40,16.5,3.1,MOV_0006_GB,0,44,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:41,16.5,3.1,MOV_0006_GB,0,44,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:42,16.5,3.2,MOV_0006_GB,0,44,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:43,16.5,3.2,MOV_0006_GB,0,44,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:44,16.5,3.3,MOV_0006_GB,0,44,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:45,16.5,3.4,MOV_0006_GB,0,44,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:46,16.5,3.4,MOV_0006_GB,0,44,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:47,16.5,3.4,MOV_0006_GB,0,44,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:48,16.5,3.4,MOV_0006_GB,0,44,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:49,16.5,3.4,MOV_0006_GB,0,44,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:50,16.5,3.4,MOV_0006_GB,0,44,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:51,16.5,3.4,MOV_0006_GB,0,44,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:52,16.5,3.4,MOV_0006_GB,0,44,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
2020:03:04 11:09:53,16.5,3.4,MOV_0006_GB,0,44,Video,1080P,100,On,Green,On,Off,Off,16,1.5.2
