Time,Temperature,Depth,Image/video-file,Video tags,BTLVL,Mode,Res,FPS,Overlay,DCCWB,EIS,Autorec,Wifi,Sdcard,Firmware
2020:03:04 11:45:16,17.2,1.2,,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:17,17.2,1.6,,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:18,17.2,1.9,,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:19,17.2,2.1,,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:20,17.2,2.4,,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:21,17.2,2.7,,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:22,17.2,2.9,,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:23,17.1,3,,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:24,17.1,3.2,,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:25,17.1,3.4,,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:26,17,3.6,,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:27,17,3.7,,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:28,17,3.9,,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:29,17,4,MOV_0495_GT,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:29,16.9,4,MOV_0495_GT,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:30,16.9,4.1,MOV_0495_GT,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:31,16.8,4.2,MOV_0495_GT,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:32,16.8,4.2,MOV_0495_GT,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:33,16.8,4.3,MOV_0495_GT,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:34,16.8,4.4,MOV_0495_GT,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:35,16.7,4.5,MOV_0495_GT,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:36,16.7,4.5,MOV_0495_GT,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:37,16.7,4.5,MOV_0495_GT,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:38,16.6,4.6,MOV_0495_GT,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:39,16.6,4.6,MOV_0495_GT,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:40,16.6,4.6,MOV_0495_GT,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:41,16.6,4.7,MOV_0495_GT,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:42,16.5,4.7,MOV_0495_GT,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:43,16.5,4.8,MOV_0495_GT,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:44,16.5,4.7,MOV_0495_GT,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:45,16.5,4.7,MOV_0495_GT,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:46,16.5,4.5,MOV_0495_GT,0,28,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:47,16.5,4.5,MOV_0495_GT,0,27,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:48,16.4,4.6,MOV_0495_GT,0,27,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:49,16.4,4.6,MOV_0495_GT,0,27,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:50,16.4,4.6,MOV_0495_GT,0,27,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:51,16.4,4.6,MOV_0495_GT,0,27,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:52,16.4,4.7,MOV_0495_GT,0,27,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:53,16.4,4.7,MOV_0495_GT,0,27,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:54,16.4,4.7,MOV_0495_GT,0,27,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:55,16.3,4.6,MOV_0495_GT,0,27,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:56,16.3,4.6,MOV_0495_GT,0,27,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:57,16.3,4.6,MOV_0495_GT,0,27,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:58,16.3,4.7,MOV_0495_GT,0,27,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:45:59,16.3,4.8,MOV_0495_GT,0,27,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:46:00,16.3,4.8,MOV_0495_GT,0,27,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:46:01,16.3,4.9,MOV_0495_GT,0,27,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:46:02,16.3,4.9,MOV_0495_GT,0,27,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:46:03,16.3,4.9,MOV_0495_GT,0,27,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:46:04,16.3,4.9,MOV_0495_GT,0,27,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 11:46:05,16.3,5,MOV_0495_GT,0,27,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
